Price,Adj Close,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM,IBM
Date,,,,,,
29-12-2015,89.654953,133.6328888,133.9005737,132.1223755,132.170166,4125110
30-12-2015,89.37269592,133.2122345,134.263855,133.0975189,133.4416809,3126912
31-12-2015,88.2694931,131.5678711,132.9827881,131.5200806,132.9541168,3621357
04-01-2016,87.19835663,129.9713135,129.9904327,128.3365173,129.6367035,5469952
05-01-2016,87.13421631,129.8757172,130.8699799,128.919693,130.745697,4105341
06-01-2016,86.69806671,129.2256165,129.6175842,127.7437897,128.4703674,4509201
07-01-2016,85.21643829,127.0172043,129.0822144,126.6061172,127.8202667,7348987
08-01-2016,84.4274826,125.841301,127.9349899,125.5449295,127.3231354,4981784
11-01-2016,85.45374298,127.3709335,127.9349899,125.9655838,126.013382,5203222
12-01-2016,85.24209595,127.0554504,127.8967514,125.3632889,127.7724686,5312320
13-01-2016,84.13247681,125.4015274,128.3747559,125.33461,127.6290665,4916305
14-01-2016,85.24851227,127.0650101,127.906311,125.4493332,126.1281052,5972242
15-01-2016,83.40127563,124.3116608,125.1242828,123.2026749,124.2925415,9422891
19-01-2016,82.16979218,122.4760971,126.2906342,122.428299,124.3881454,10438662
20-01-2016,78.16103363,116.5009537,118.5372849,112.8107071,113.2504807,16901059
21-01-2016,78.83448029,117.5047836,119.5984726,115.2772446,115.9655838,9258774
22-01-2016,78.57151794,117.1128082,119.254303,116.414917,119.1873779,9663366
25-01-2016,78.30213165,116.7112808,118.7667313,116.2906342,116.7304001,5696516
26-01-2016,78.62924194,117.1988525,118.173996,116.8642426,116.8738022,4830219
27-01-2016,77.58374786,115.6405334,117.9445496,115.3441696,117.332695,5257614
28-01-2016,78.39193726,116.8451233,117.428299,115.6883392,115.9273453,4123855
29-01-2016,80.04034424,119.3021011,119.3021011,117.5525818,117.8585052,8627513
01-02-2016,80.06598663,119.3403473,119.7801132,118.2695999,118.9292526,3739345
02-02-2016,78.85373688,117.5334625,118.680687,117.2466507,118.2313614,3438516
03-02-2016,79.99542999,119.2351837,119.933075,116.9120483,118.5372849,6509781
04-02-2016,81.87474823,122.0363312,122.8489456,119.5028687,119.5793533,5508759
05-02-2016,82.46482849,122.9158707,122.9827957,120.3154907,121.6252365,7507874
08-02-2016,82.2769165,121.3957901,121.9024887,118.6711273,120.4588928,7702744
09-02-2016,80.39138031,118.6137695,121.3479919,118.3269577,120.573616,6231231
10-02-2016,77.87732697,114.9043961,119.7801132,114.5697937,119.5028687,6766679
11-02-2016,76.36109924,112.667305,114.3977051,111.759079,113.5564041,7643750
12-02-2016,78.4280777,115.7170181,115.7265778,113.1453171,114.0152969,5163579
16-02-2016,79.52959442,117.3422546,117.6768646,116.0038223,116.4722748,4248224
17-02-2016,81.70674133,120.5544968,121.0038223,117.8298264,118.2695999,5042766
18-02-2016,85.82118988,126.6252365,128.1070709,124.0439758,124.2829819,10409374
19-02-2016,86.22941589,127.2275314,127.7724686,125.0860443,126.5391998,5361064
22-02-2016,86.6765213,127.8871918,128.4034424,126.586998,127.2275314,4662440
23-02-2016,85.78879547,126.5774384,127.5430222,126.2045898,127.2848969,3597926
24-02-2016,86.04801178,126.9598465,127.6194992,123.9770584,125.7648163,4312240
25-02-2016,87.1495285,128.585083,128.5946503,125.1242828,127.428299,4558782
26-02-2016,85.54908752,126.2237091,128.986618,126.1472244,128.5946503,4587965
29-02-2016,84.90113068,125.2676849,127.4952164,125.1434021,126.1950302,4631688
01-03-2016,87.06529236,128.4608002,128.7189331,126.2237091,126.4244766,3962771
02-03-2016,88.3158493,130.3059235,131.3957977,127.3613739,127.8202667,5457191
03-03-2016,89.28775024,131.7399597,131.8929291,130.0860443,131.1854706,5393594
04-03-2016,89.28775024,131.7399597,133.2887115,130.9942627,131.491394,4150946
07-03-2016,90.81044006,133.986618,134.33078,130.8508606,131.2428284,5408866
08-03-2016,90.11064148,132.9541168,134.1778259,131.3766785,133.5659637,5835739
09-03-2016,90.97888184,134.2351837,135.9177856,133.1070709,133.1835632,4609199
10-03-2016,90.83636475,134.0248566,135.2485657,132.0172119,135.0286865,4205548
11-03-2016,92.24240112,136.0994263,136.6347961,134.33078,135.4971313,4625307
14-03-2016,92.5145874,136.5009613,136.8929291,134.8374786,135.7648163,4235045
15-03-2016,92.63115692,136.6730347,137.0267639,135.3154907,135.5066986,3878045
16-03-2016,93.81693268,138.4225616,138.508606,135.8604279,136.3479919,4416107
17-03-2016,95.27483368,140.5736084,140.8412933,138.0975189,138.4129944,6089394
18-03-2016,95.30724335,140.6214142,141.0229492,139.1109009,140.9177856,12645826
21-03-2016,96.30508423,142.093689,142.170166,140.2676849,140.8221741,3892794
22-03-2016,95.96163177,141.5870056,142.7151031,141.3384247,141.5487518,4269667
23-03-2016,94.21219635,139.0057373,141.5200806,138.7476044,141.491394,4983353
24-03-2016,95.86449432,141.4435883,141.7017212,138.1357574,138.6042023,5276547
28-03-2016,96.15605164,141.8738098,142.1128082,140.7552643,141.2523956,3415295
29-03-2016,96.75862885,142.7629089,143.173996,141.013382,141.0994263,3282871
30-03-2016,96.16254425,141.8833618,143.7954102,141.7973175,143.3556366,3484435
31-03-2016,98.1322937,144.7896729,146.3671112,142.7915802,143.2026825,7092508
01-04-2016,98.8256073,145.8126221,146.2332764,143.6424408,143.8910065,4106073
04-04-2016,98.53405762,145.3824158,146.7686462,145.2294464,145.6405334,4112035
05-04-2016,97.19275665,143.4034424,144.933075,143.0688324,144.7705536,3490502
06-04-2016,97.20569611,143.4225616,143.5468445,141.3097534,143.3078461,4387552
07-04-2016,96.05886841,141.7304077,143.0210266,141.491394,142.5143433,3831498
08-04-2016,96.77161407,142.7820282,143.3938751,141.6061249,142.504776,3445315
11-04-2016,96.70679474,142.6864166,145.2676849,142.6577454,143.6520081,4023021
